tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	poster_path	
tt0118799	movie	Life Is Beautiful	La vita è bella	0	1997	\N	116	Comedy,Drama,Romance	http://image.tmdb.org/t/p/original/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg	
tt0114369	movie	Se7en	Se7en	0	1995	\N	127	Crime,Drama,Mystery	http://image.tmdb.org/t/p/original/69Sns8WoET6CfaYlIkHbla4l7nC.jpg	
tt0103064	movie	Terminator 2: Judgment Day	Terminator 2: Judgment Day	0	1991	\N	137	Action,Sci-Fi	http://image.tmdb.org/t/p/original/5M0j0B18abtBI5gi2RhfjjurTqb.jpg	
tt0102926	movie	The Silence of the Lambs	The Silence of the Lambs	0	1991	\N	118	Crime,Drama,Thriller	http://image.tmdb.org/t/p/original/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg	
tt0076759	movie	Star Wars: Episode IV - A New Hope	Star Wars	0	1977	\N	121	Action,Adventure,Fantasy	http://image.tmdb.org/t/p/original/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg	
tt0056058	movie	Harakiri	Seppuku	0	1962	\N	133	Action,Drama,Mystery	http://image.tmdb.org/t/p/original/w7pWcLaYQkbtRUn99K6ome0DblL.jpg	
tt0047478	movie	Seven Samurai	Shichinin no samurai	0	1954	\N	207	Action,Drama	http://image.tmdb.org/t/p/original/iAq0sq42vKTLneVGqHn1D4GzgrM.jpg	
tt0038650	movie	It's a Wonderful Life	It's a Wonderful Life	0	1946	\N	130	Drama,Family,Fantasy	http://image.tmdb.org/t/p/original/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg	
tt6751668	movie	Parasite	Gisaengchung	0	2019	\N	132	Drama,Thriller	http://image.tmdb.org/t/p/original/3CBCuqwjMkeaPQG29jmru2exrYT.jpg	
tt2582802	movie	Whiplash	Whiplash	0	2014	\N	106	Drama,Music	http://image.tmdb.org/t/p/original/E1fpfU9cMCgFYL3QPvJr3vt20X.jpg	
tt1675434	movie	The Intouchables	Intouchables	0	2011	\N	112	Biography,Comedy,Drama	http://image.tmdb.org/t/p/original/323BP0itpxTsO0skTwdnVmf7YC9.jpg	
tt0482571	movie	The Prestige	The Prestige	0	2006	\N	130	Drama,Mystery,Sci-Fi	http://image.tmdb.org/t/p/original/bdN3gXuIZYaJP7ftKK2sU0nPtEA.jpg	
tt0407887	movie	The Departed	The Departed	0	2006	\N	151	Crime,Drama,Thriller	http://image.tmdb.org/t/p/original/jyAgiqVSx5fl0NNj7WoGGKweXrL.jpg	
tt0253474	movie	The Pianist	The Pianist	0	2002	\N	150	Biography,Drama,Music	http://image.tmdb.org/t/p/original/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg	
tt0172495	movie	Gladiator	Gladiator	0	2000	\N	155	Action,Adventure,Drama	http://image.tmdb.org/t/p/original/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg	
tt0120586	movie	American History X	American History X	0	1998	\N	119	Crime,Drama	http://image.tmdb.org/t/p/original/c2gsmSQ2Cqv8zosqKOCwRS0GFBS.jpg	
tt0114814	movie	The Usual Suspects	The Usual Suspects	0	1995	\N	106	Crime,Drama,Mystery	http://image.tmdb.org/t/p/original/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg	
tt0110413	movie	Léon: The Professional	Léon	0	1994	\N	110	Action,Crime,Drama	http://image.tmdb.org/t/p/original/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg	
tt0110357	movie	The Lion King	The Lion King	0	1994	\N	88	Adventure,Animation,Drama	http://image.tmdb.org/t/p/original/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg	
tt0095765	movie	Cinema Paradiso	Nuovo Cinema Paradiso	0	1988	\N	155	Drama,Romance	http://image.tmdb.org/t/p/original/8SRUfRUi6x4O68n0VCbDNRa6iGL.jpg	
tt0095327	movie	Grave of the Fireflies	Hotaru no haka	0	1988	\N	89	Animation,Drama,War	http://image.tmdb.org/t/p/original/kQ29Tp6L43o1hVbyXxdtxAtLtZ3.jpg	
tt0088763	movie	Back to the Future	Back to the Future	0	1985	\N	116	Adventure,Comedy,Sci-Fi	http://image.tmdb.org/t/p/original/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg	
tt0078788	movie	Apocalypse Now	Apocalypse Now	0	1979	\N	147	Drama,Mystery,War	http://image.tmdb.org/t/p/original/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg	
tt0078748	movie	Alien	Alien	0	1979	\N	117	Horror,Sci-Fi	http://image.tmdb.org/t/p/original/bI1ZDRkerXrcaFa5kWjEMw80aqE.jpg	
tt0064116	movie	Once Upon a Time in the West	C'era una volta il West	0	1968	\N	165	Western	http://image.tmdb.org/t/p/original/qbYgqOczabWNn2XKwgMtVrntD6P.jpg	
tt0054215	movie	Psycho	Psycho	0	1960	\N	109	Horror,Mystery,Thriller	http://image.tmdb.org/t/p/original/9uGHEgsiUXjCNq8wdq4r49YL8A1.jpg	
tt0047396	movie	Rear Window	Rear Window	0	1954	\N	112	Mystery,Thriller	http://image.tmdb.org/t/p/original/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg	
tt0034583	movie	Casablanca	Casablanca	0	1942	\N	102	Drama,Romance,War	http://image.tmdb.org/t/p/original/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg	
tt0027977	movie	Modern Times	Modern Times	0	1936	\N	87	Comedy,Drama,Romance	http://image.tmdb.org/t/p/original/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg	
tt0021749	movie	City Lights	City Lights	0	1931	\N	87	Comedy,Drama,Romance	http://image.tmdb.org/t/p/original/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg	
tt8267604	movie	Capernaum	Capharnaüm	0	2018	\N	126	Drama	http://image.tmdb.org/t/p/original/cqkqrIDzvkFRWVbRRQLqtkXQoPu.jpg	
tt7286456	movie	Joker	Joker	0	2019	\N	122	Crime,Drama,Thriller	http://image.tmdb.org/t/p/original/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg	
tt5311514	movie	Your Name.	Kimi no Na wa.	0	2016	\N	106	Animation,Drama,Fantasy	http://image.tmdb.org/t/p/original/q719jXXEzOoYaps6babgKnONONX.jpg	
tt4633694	movie	Spider-Man: Into the Spider-Verse	Spider-Man: Into the Spider-Verse	0	2018	\N	117	Action,Adventure,Animation	http://image.tmdb.org/t/p/original/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg	
tt4154796	movie	Avengers: Endgame	Avengers: Endgame	0	2019	\N	181	Action,Adventure,Drama	http://image.tmdb.org/t/p/original/or06FN3Dka5tukK1e9sl16pB3iy.jpg	
tt4154756	movie	Avengers: Infinity War	Avengers: Infinity War	0	2018	\N	149	Action,Adventure,Sci-Fi	http://image.tmdb.org/t/p/original/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg	
tt2380307	movie	Coco	Coco	0	2017	\N	105	Adventure,Animation,Comedy	http://image.tmdb.org/t/p/original/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg	
tt1853728	movie	Django Unchained	Django Unchained	0	2012	\N	165	Drama,Western	http://image.tmdb.org/t/p/original/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg	
tt1745960	movie	Top Gun: Maverick	Top Gun: Maverick	0	2022	\N	130	Action,Drama	http://image.tmdb.org/t/p/original/62HCnUTziyWcpDaBO2i1DX17ljH.jpg	
tt1345836	movie	The Dark Knight Rises	The Dark Knight Rises	0	2012	\N	164	Action,Drama	http://image.tmdb.org/t/p/original/hrJUZ5Jo2G3Czy391evhlxgbEdJ.jpg	
tt1187043	movie	3 Idiots	3 Idiots	0	2009	\N	170	Comedy,Drama	http://image.tmdb.org/t/p/original/66A9MqXOyVFCssoloscw79z8Tew.jpg	
tt0910970	movie	WALL·E	WALL·E	0	2008	\N	98	Adventure,Animation,Family	http://image.tmdb.org/t/p/original/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg	
tt0405094	movie	The Lives of Others	Das Leben der Anderen	0	2006	\N	137	Drama,Mystery,Thriller	http://image.tmdb.org/t/p/original/bCywq0RkrdI2qzhPNuuJ9PvGuzd.jpg	
tt0364569	movie	Oldboy	Oldeuboi	0	2003	\N	120	Action,Drama,Mystery	http://image.tmdb.org/t/p/original/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg	
tt0209144	movie	Memento	Memento	0	2000	\N	113	Mystery,Thriller	http://image.tmdb.org/t/p/original/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg	
tt0169547	movie	American Beauty	American Beauty	0	1999	\N	122	Drama	http://image.tmdb.org/t/p/original/s5PXkDqS8W3K4wCPNZBzf10zycw.jpg	
tt0119698	movie	Princess Mononoke	Mononoke-hime	0	1997	\N	134	Action,Adventure,Animation	http://image.tmdb.org/t/p/original/cMYCDADoLKLbB83g4WnJegaZimC.jpg	
tt0112573	movie	Braveheart	Braveheart	0	1995	\N	178	Biography,Drama,History	http://image.tmdb.org/t/p/original/or1gBugydmjToAEq7OZY0owwFk.jpg	
